,name,location,rent,deposit,area,type,highlights,description,owner
203,Paranjape Blue Ridge,Hadapsar,19500.0,35000.0,442.0,1 BHK ,"['1 Baths', 'Full Power Backup']","Find this 1 bhk apartment for rent in hinjewadi, pune. This 1 bhk apartment in paranjape blue ridge is situated in pune. The flat is close to metro station. This 1 bhk flat comes with 1 bathroom set in 442 sq.Ft. Carpet usable area. The flat consists of 1 bedroom, built on 442 sq.Ft. Society provides 1 covered parking with this flat. The building has a total of 30 floors and this property is si...",Lotlite Realtors Private Limited
204,Paranjape Blue Ridge,Hadapsar,19000.0,40000.0,442.0,1 BHK ,"['1 Baths', 'Private Garden']","A spacious 1 bhk flat for rent is available in hinjewadi in paranjape blue ridge, pune. This property is close to metro station. This flat consists of 1 bathroom & 1 balcony in 442 sq.Ft. Carpet area. Flat is constructed on 442 sq.Ft. 1 covered parking available. Placed on 15th of 30 floor in 1-5 years old tower. This is an unfurnished flat. The flat will be available from thu, 22 feb 2024 for ...",Lotlite Realtors Private Limited
205,Paranjape Blue Ridge,Hadapsar,33000.0,90000.0,950.0,2 BHK ,"['2 Baths', 'Full Power Backup']","Pune's most popular society paranjape blue ridge in hinjewadi offers 2 bhk apartment. Additionally, this property is in vicinity to important points of interest and is close to metro station. This 2 bhk flat comes with 2 bathrooms set in 950 sq.Ft. Carpet usable area. The flat is built on 950 sq.Ft. Area. This property has pooja room as well. Ease of access to 1 covered parking within society. ...",Lotlite Realtors Private Limited
206,Rohan Prathama,Hadapsar,28000.0,50000.0,741.0,2 BHK ,"['2 Baths', 'East Facing']","This 2 bhk flat in hinjewadi is available in rohan prathama for rent, one of the most prominent projects for residential flats in pune. Additionally, this property is in vicinity to important points of interest and is close to metro station, close to school, close to hospital and close to market. Property has 741 sq.Ft. Carpet area with 2 bathrooms & 1 balcony attached. This property is constru...",Lotlite Realtors Private Limited
207,Shapoorji Joyville,Hadapsar,22000.0,50000.0,710.0,2 BHK ,"['2 Baths', 'Private Garden']","Situated in hinjewadi pune, shapoorji joyville is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 2 bhk apartment now available for rent. This property is close to metro station. This flat consists of 2 bathrooms & 1 balcony in 710 sq.Ft. Carpet area. This flat is constructed on 710 sq.Ft. Area. This flat lies on the 16th floor of a 18 ...",Lotlite Realtors Private Limited
208,Megapolis Sparklet,Hadapsar,19000.0,40000.0,510.0,1 BHK ,"['1 Baths', 'East Facing']","A spacious 1 bhk flat for rent is available in hinjewadi in megapolis sparklet, pune. This property is close to metro station. Property has 510 sq.Ft. Carpet area with 1 bathroom & 1 balcony attached. Flat is constructed on 510 sq.Ft. 1 covered parking available. Placed on 9th of 14 floor in 5-10 years old tower. It is an unfurnished property. Ready to occupy from fri, 23 feb 2024, this propert...",Lotlite Realtors Private Limited
209,Paranjape Blue Ridge,Hadapsar,25000.0,50000.0,442.0,1 BHK ,"['1 Baths', 'East Facing']","Paranjape blue ridge is one of pune's most sought after destination for residential flats and this 1 bhk flat for rent in hinjewadi, is your opportunity to be a part of this community. The flat is close to metro station and close to school. This flat consists of 1 bathroom & 1 balcony build in 442 sq.Ft. Carpet area. Flat is constructed on 442 sq.Ft. 1 covered parking available. Placed on 24th ...",Lotlite Realtors Private Limited
210,Aeropolis,Lohegaon,30000.0,60000.0,1050.0,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in lohegaon close to all basic civic amenities is available for just 30,000 in aeropolis, pune. Property has 950 sq.Ft. Super built-Up area with 2 bathrooms & 2 balconies attached. This property is constructed on 1050 sq.Ft. Extra space for others. Located on 1st of 11 floor. This is a ready to move property and it is 1-5 years old flat. This property is furnished. Equippe...",Star Property Consultant  
211,Rohan Madhuban,Bavdhan,140000.0,700000.0,5200.0,4 BHK ,"['4 Baths', 'Swimming Pool Available']",Excellent 4.5 bhk house for rent in rohan madhuban bavdhan with all amenities,R.P. Consultancy Services 
212,Bhagwati Nagar Baner,Baner,100000.0,400000.0,2700.0,4 BHK ,"['5 Baths', 'East Facing']","Find this 4 bhk house for rent in baner, pune. This house is available in bhagwati nagar baner. Property has attached 5 bathrooms & 3 balconies. This property is unfurnished. This house is spread over built up area of 2700 sq.Ft. Extra space for servant room. You will get 3 covered parking inside the premises. Also get 2 open parking. The residence is 1-5 years old. Expected rent for this house...",R.P. Consultancy Services 
213,Bramha Sky City,Dhanori,30200.0,70000.0,1360.0,3 BHK ,"['3 Baths', 'East Facing']","Bramha sky city is the most preferred destination for renting flats in dhanori, pune. A 3 bhk flat is now available for rent here. Don't miss to be a part of this community. This flat consists of 3 bathrooms & 2 balconies in 1100 sq.Ft. Super built-Up area. This property is constructed on 1360 sq.Ft. Extra space for pooja room. You also get 1 covered parking inside the premises located on 8th o...",A1 Realties 
214,Kalpataru Exquisite,Wakad,40000.0,100000.0,1680.0,3 BHK ,"['3 Baths', 'East Facing']","This lovely 3 bhk apartment for rent in wakad is available in one of pune's most popular projects, kalpataru exquisite. This flat consists of 3 bathrooms & 2 balconies in 1550 sq.Ft. Super built-Up area. This flat is constructed on 1680 sq.Ft. Area. An independent study room is available in this property. This flat lies on the 20th floor of a 23 storey building. This is an unfurnished flat. The...",Chintamani Real Estate and Consultant 
